chromosome,source,feature,start,end,score,strand,frame,attributes,line_number,gene_id
LR134336.1,EMBL,gene,14488,14560,,+,,ID=gene-NCTC11427_00014;Name=NCTC11427_00014;gbkey=Gene;gene_biotype=tRNA;locus_tag=NCTC11427_00014,35,gene-NCTC11427_00014
LR134336.1,EMBL,gene,14797,16334,,+,,ID=gene-NCTC11427_00015;Name=NCTC11427_00015;gbkey=Gene;gene_biotype=rRNA;locus_tag=NCTC11427_00015,38,gene-NCTC11427_00015
LR134336.1,EMBL,gene,16389,16464,,+,,ID=gene-NCTC11427_00016;Name=NCTC11427_00016;gbkey=Gene;gene_biotype=tRNA;locus_tag=NCTC11427_00016,41,gene-NCTC11427_00016
LR134336.1,EMBL,gene,16587,19488,,+,,ID=gene-NCTC11427_00017;Name=NCTC11427_00017;gbkey=Gene;gene_biotype=rRNA;locus_tag=NCTC11427_00017,44,gene-NCTC11427_00017
LR134336.1,EMBL,gene,19568,19682,,+,,ID=gene-NCTC11427_00018;Name=NCTC11427_00018;gbkey=Gene;gene_biotype=rRNA;locus_tag=NCTC11427_00018,47,gene-NCTC11427_00018
LR134336.1,EMBL,gene,19686,19760,,+,,ID=gene-NCTC11427_00019;Name=NCTC11427_00019;gbkey=Gene;gene_biotype=tRNA;locus_tag=NCTC11427_00019,50,gene-NCTC11427_00019
LR134336.1,EMBL,gene,19968,20205,,+,,ID=gene-NCTC11427_00020;Name=NCTC11427_00020;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00020,53,gene-NCTC11427_00020
LR134336.1,EMBL,gene,20398,21733,,+,,ID=gene-NCTC11427_00021;Name=purA;gbkey=Gene;gene=purA;gene_biotype=protein_coding;locus_tag=NCTC11427_00021,55,gene-NCTC11427_00021
LR134336.1,EMBL,gene,21933,22401,,+,,ID=gene-NCTC11427_00022;Name=tadA;gbkey=Gene;gene=tadA;gene_biotype=protein_coding;locus_tag=NCTC11427_00022,57,gene-NCTC11427_00022
LR134336.1,EMBL,gene,22589,23033,,+,,ID=gene-NCTC11427_00024;Name=dut;gbkey=Gene;gene=dut;gene_biotype=protein_coding;locus_tag=NCTC11427_00024,59,gene-NCTC11427_00024
LR134336.1,EMBL,gene,22983,23574,,+,,ID=gene-NCTC11427_00025;Name=NCTC11427_00025;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00025,61,gene-NCTC11427_00025
LR134336.1,EMBL,gene,23725,24949,,+,,ID=gene-NCTC11427_00026;Name=radA;gbkey=Gene;gene=radA;gene_biotype=protein_coding;locus_tag=NCTC11427_00026,63,gene-NCTC11427_00026
LR134336.1,EMBL,gene,25021,25516,,+,,ID=gene-NCTC11427_00027;Name=NCTC11427_00027;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00027,65,gene-NCTC11427_00027
LR134336.1,EMBL,gene,25729,26698,,+,,ID=gene-NCTC11427_00028;Name=prsA_1;gbkey=Gene;gene=prsA_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00028,67,gene-NCTC11427_00028
LR134336.1,EMBL,gene,26817,27255,,+,,ID=gene-NCTC11427_00029;Name=yccU;gbkey=Gene;gene=yccU;gene_biotype=protein_coding;locus_tag=NCTC11427_00029,69,gene-NCTC11427_00029
LR134336.1,EMBL,gene,27283,28294,,-,,ID=gene-NCTC11427_00030;Name=yeiH;gbkey=Gene;gene=yeiH;gene_biotype=protein_coding;locus_tag=NCTC11427_00030,71,gene-NCTC11427_00030
LR134336.1,EMBL,gene,28445,29615,,+,,ID=gene-NCTC11427_00031;Name=aspC1;gbkey=Gene;gene=aspC1;gene_biotype=protein_coding;locus_tag=NCTC11427_00031,73,gene-NCTC11427_00031
LR134336.1,EMBL,gene,29611,30382,,+,,ID=gene-NCTC11427_00032;Name=recO;gbkey=Gene;gene=recO;gene_biotype=protein_coding;locus_tag=NCTC11427_00032,75,gene-NCTC11427_00032
LR134336.1,EMBL,gene,30378,31371,,+,,ID=gene-NCTC11427_00033;Name=plsX;gbkey=Gene;gene=plsX;gene_biotype=protein_coding;locus_tag=NCTC11427_00033,77,gene-NCTC11427_00033
LR134336.1,EMBL,gene,31376,31613,,+,,ID=gene-NCTC11427_00034;Name=acpP_1;gbkey=Gene;gene=acpP_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00034,79,gene-NCTC11427_00034
LR134336.1,EMBL,gene,32053,32242,,+,,ID=gene-NCTC11427_00035;Name=NCTC11427_00035;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00035,81,gene-NCTC11427_00035
LR134336.1,EMBL,gene,32259,32427,,+,,ID=gene-NCTC11427_00036;Name=NCTC11427_00036;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00036,83,gene-NCTC11427_00036
LR134336.1,EMBL,gene,32436,32625,,+,,ID=gene-NCTC11427_00037;Name=NCTC11427_00037;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00037,85,gene-NCTC11427_00037
LR134336.1,EMBL,gene,33059,35213,,+,,ID=gene-NCTC11427_00038;Name=comA;gbkey=Gene;gene=comA;gene_biotype=protein_coding;locus_tag=NCTC11427_00038,87,gene-NCTC11427_00038
LR134336.1,EMBL,gene,35225,36575,,+,,ID=gene-NCTC11427_00039;Name=comB;gbkey=Gene;gene=comB;gene_biotype=protein_coding;locus_tag=NCTC11427_00039,89,gene-NCTC11427_00039
LR134336.1,EMBL,gene,36742,37450,,+,,ID=gene-NCTC11427_00040;Name=purC;gbkey=Gene;gene=purC;gene_biotype=protein_coding;locus_tag=NCTC11427_00040,91,gene-NCTC11427_00040
LR134336.1,EMBL,gene,37506,41232,,+,,ID=gene-NCTC11427_00041;Name=purL;gbkey=Gene;gene=purL;gene_biotype=protein_coding;locus_tag=NCTC11427_00041,93,gene-NCTC11427_00041
LR134336.1,EMBL,gene,41244,42687,,+,,ID=gene-NCTC11427_00042;Name=purF;gbkey=Gene;gene=purF;gene_biotype=protein_coding;locus_tag=NCTC11427_00042,95,gene-NCTC11427_00042
LR134336.1,EMBL,gene,42730,43753,,+,,ID=gene-NCTC11427_00043;Name=purM;gbkey=Gene;gene=purM;gene_biotype=protein_coding;locus_tag=NCTC11427_00043,97,gene-NCTC11427_00043
LR134336.1,EMBL,gene,43749,44295,,+,,ID=gene-NCTC11427_00044;Name=purN;gbkey=Gene;gene=purN;gene_biotype=protein_coding;locus_tag=NCTC11427_00044,99,gene-NCTC11427_00044
LR134336.1,EMBL,gene,44310,45858,,+,,ID=gene-NCTC11427_00045;Name=purH;gbkey=Gene;gene=purH;gene_biotype=protein_coding;locus_tag=NCTC11427_00045,101,gene-NCTC11427_00045
LR134336.1,EMBL,gene,45978,47244,,+,,ID=gene-NCTC11427_00046;Name=purD;gbkey=Gene;gene=purD;gene_biotype=protein_coding;locus_tag=NCTC11427_00046,103,gene-NCTC11427_00046
LR134336.1,EMBL,gene,47444,47936,,+,,ID=gene-NCTC11427_00047;Name=purE;gbkey=Gene;gene=purE;gene_biotype=protein_coding;locus_tag=NCTC11427_00047,105,gene-NCTC11427_00047
LR134336.1,EMBL,gene,47922,49014,,+,,ID=gene-NCTC11427_00048;Name=purK;gbkey=Gene;gene=purK;gene_biotype=protein_coding;locus_tag=NCTC11427_00048,107,gene-NCTC11427_00048
LR134336.1,EMBL,gene,49468,51358,,+,,ID=gene-NCTC11427_00049;Name=NCTC11427_00049;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00049,109,gene-NCTC11427_00049
LR134336.1,EMBL,gene,51374,52673,,+,,ID=gene-NCTC11427_00050;Name=purB;gbkey=Gene;gene=purB;gene_biotype=protein_coding;locus_tag=NCTC11427_00050,111,gene-NCTC11427_00050
LR134336.1,EMBL,gene,52730,56486,,-,,ID=gene-NCTC11427_00051;Name=strH_1;gbkey=Gene;gene=strH_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00051,113,gene-NCTC11427_00051
LR134336.1,EMBL,gene,56788,57505,,-,,ID=gene-NCTC11427_00052;Name=frlR;gbkey=Gene;gene=frlR;gene_biotype=protein_coding;locus_tag=NCTC11427_00052,115,gene-NCTC11427_00052
LR134336.1,EMBL,gene,57826,59614,,+,,ID=gene-NCTC11427_00053;Name=bgaC;gbkey=Gene;gene=bgaC;gene_biotype=protein_coding;locus_tag=NCTC11427_00053,117,gene-NCTC11427_00053
LR134336.1,EMBL,gene,59610,60087,,+,,ID=gene-NCTC11427_00054;Name=PTS-EIIB;gbkey=Gene;gene=PTS-EIIB;gene_biotype=protein_coding;locus_tag=NCTC11427_00054,119,gene-NCTC11427_00054
LR134336.1,EMBL,gene,60113,61019,,+,,ID=gene-NCTC11427_00055;Name=PTS-EIIC;gbkey=Gene;gene=PTS-EIIC;gene_biotype=protein_coding;locus_tag=NCTC11427_00055,121,gene-NCTC11427_00055
LR134336.1,EMBL,gene,61005,61827,,+,,ID=gene-NCTC11427_00056;Name=manZ;gbkey=Gene;gene=manZ;gene_biotype=protein_coding;locus_tag=NCTC11427_00056,123,gene-NCTC11427_00056
LR134336.1,EMBL,gene,61830,62235,,+,,ID=gene-NCTC11427_00057;Name=PTS-EII;gbkey=Gene;gene=PTS-EII;gene_biotype=protein_coding;locus_tag=NCTC11427_00057,125,gene-NCTC11427_00057
LR134336.1,EMBL,gene,62339,63506,,+,,ID=gene-NCTC11427_00058;Name=agaS;gbkey=Gene;gene=agaS;gene_biotype=protein_coding;locus_tag=NCTC11427_00058,127,gene-NCTC11427_00058
LR134336.1,EMBL,gene,63516,64512,,+,,ID=gene-NCTC11427_00059;Name=lacD_1;gbkey=Gene;gene=lacD_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00059,129,gene-NCTC11427_00059
LR134336.1,EMBL,gene,64657,65695,,+,,ID=gene-NCTC11427_00060;Name=mro;gbkey=Gene;gene=mro;gene_biotype=protein_coding;locus_tag=NCTC11427_00060,131,gene-NCTC11427_00060
LR134336.1,EMBL,gene,65805,66660,,+,,ID=gene-NCTC11427_00061;Name=catE;gbkey=Gene;gene=catE;gene_biotype=protein_coding;locus_tag=NCTC11427_00061,133,gene-NCTC11427_00061
LR134336.1,EMBL,gene,66973,67546,,+,,ID=gene-NCTC11427_00062;Name=NCTC11427_00062;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00062,135,gene-NCTC11427_00062
LR134336.1,EMBL,gene,67547,68210,,+,,ID=gene-NCTC11427_00063;Name=NCTC11427_00063;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00063,137,gene-NCTC11427_00063
LR134336.1,EMBL,gene,68331,69003,,+,,ID=gene-NCTC11427_00064;Name=NCTC11427_00064;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00064,139,gene-NCTC11427_00064
LR134336.1,EMBL,gene,69005,69662,,+,,ID=gene-NCTC11427_00065;Name=NCTC11427_00065;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00065,141,gene-NCTC11427_00065
LR134336.1,EMBL,gene,69738,70296,,+,,ID=gene-NCTC11427_00066;Name=NCTC11427_00066;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00066,143,gene-NCTC11427_00066
LR134336.1,EMBL,gene,70495,70753,,+,,ID=gene-NCTC11427_00067;Name=csoR;gbkey=Gene;gene=csoR;gene_biotype=protein_coding;locus_tag=NCTC11427_00067,145,gene-NCTC11427_00067
LR134336.1,EMBL,gene,70974,71271,,-,,ID=gene-NCTC11427_00068;Name=glpE_1;gbkey=Gene;gene=glpE_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00068,147,gene-NCTC11427_00068
LR134336.1,EMBL,gene,71620,71926,,-,,ID=gene-NCTC11427_00069;Name=glpE_2;gbkey=Gene;gene=glpE_2;gene_biotype=protein_coding;locus_tag=NCTC11427_00069,149,gene-NCTC11427_00069
LR134336.1,EMBL,gene,72100,72664,,+,,ID=gene-NCTC11427_00070;Name=maa;gbkey=Gene;gene=maa;gene_biotype=protein_coding;locus_tag=NCTC11427_00070,151,gene-NCTC11427_00070
LR134336.1,EMBL,gene,72936,74172,,+,,ID=gene-NCTC11427_00071;Name=NCTC11427_00071;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00071,153,gene-NCTC11427_00071
LR134336.1,EMBL,gene,74599,75316,,+,,ID=gene-NCTC11427_00072;Name=ybhF_1;gbkey=Gene;gene=ybhF_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00072,155,gene-NCTC11427_00072
LR134336.1,EMBL,gene,75317,76400,,+,,ID=gene-NCTC11427_00073;Name=ybhR;gbkey=Gene;gene=ybhR;gene_biotype=protein_coding;locus_tag=NCTC11427_00073,157,gene-NCTC11427_00073
LR134336.1,EMBL,gene,76439,77063,,+,,ID=gene-NCTC11427_00074;Name=fadR_1;gbkey=Gene;gene=fadR_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00074,159,gene-NCTC11427_00074
LR134336.1,EMBL,gene,77347,78112,,+,,ID=gene-NCTC11427_00075;Name=deoD_1;gbkey=Gene;gene=deoD_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00075,161,gene-NCTC11427_00075
LR134336.1,EMBL,gene,78145,79525,,+,,ID=gene-NCTC11427_00076;Name=trk;gbkey=Gene;gene=trk;gene_biotype=protein_coding;locus_tag=NCTC11427_00076,163,gene-NCTC11427_00076
LR134336.1,EMBL,gene,79538,80204,,+,,ID=gene-NCTC11427_00077;Name=ktrA;gbkey=Gene;gene=ktrA;gene_biotype=protein_coding;locus_tag=NCTC11427_00077,165,gene-NCTC11427_00077
LR134336.1,EMBL,gene,80358,82446,,+,,ID=gene-NCTC11427_00078;Name=NCTC11427_00078;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00078,167,gene-NCTC11427_00078
LR134336.1,EMBL,gene,82526,83225,,+,,ID=gene-NCTC11427_00079;Name=rr08;gbkey=Gene;gene=rr08;gene_biotype=protein_coding;locus_tag=NCTC11427_00079,169,gene-NCTC11427_00079
LR134336.1,EMBL,gene,83221,84256,,+,,ID=gene-NCTC11427_00080;Name=hk08;gbkey=Gene;gene=hk08;gene_biotype=protein_coding;locus_tag=NCTC11427_00080,171,gene-NCTC11427_00080
LR134336.1,EMBL,gene,84458,85070,,+,,ID=gene-NCTC11427_00081;Name=rpsD;gbkey=Gene;gene=rpsD;gene_biotype=protein_coding;locus_tag=NCTC11427_00081,173,gene-NCTC11427_00081
LR134336.1,EMBL,gene,85893,86076,,+,,ID=gene-NCTC11427_00082;Name=NCTC11427_00082;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00082,175,gene-NCTC11427_00082
LR134336.1,EMBL,gene,86151,86367,,+,,ID=gene-NCTC11427_00083;Name=NCTC11427_00083;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00083,177,gene-NCTC11427_00083
LR134336.1,EMBL,gene,86418,86667,,+,,ID=gene-NCTC11427_00084;Name=NCTC11427_00084;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00084,179,gene-NCTC11427_00084
LR134336.1,EMBL,gene,86780,87068,,+,,ID=gene-NCTC11427_00085;Name=NCTC11427_00085;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00085,181,gene-NCTC11427_00085
LR134336.1,EMBL,gene,87068,87260,,+,,ID=gene-NCTC11427_00086;Name=NCTC11427_00086;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00086,183,gene-NCTC11427_00086
LR134336.1,EMBL,gene,87326,87539,,+,,ID=gene-NCTC11427_00087;Name=NCTC11427_00087;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00087,185,gene-NCTC11427_00087
LR134336.1,EMBL,gene,88045,88942,,-,,ID=gene-NCTC11427_00088;Name=NCTC11427_00088;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00088,187,gene-NCTC11427_00088
LR134336.1,EMBL,gene,89503,89653,,-,,ID=gene-NCTC11427_00089;Name=rpmGA;gbkey=Gene;gene=rpmGA;gene_biotype=protein_coding;locus_tag=NCTC11427_00089,189,gene-NCTC11427_00089
LR134336.1,EMBL,gene,89668,89851,,-,,ID=gene-NCTC11427_00090;Name=rpmF;gbkey=Gene;gene=rpmF;gene_biotype=protein_coding;locus_tag=NCTC11427_00090,191,gene-NCTC11427_00090
LR134336.1,EMBL,gene,90081,91785,,+,,ID=gene-NCTC11427_00091;Name=ilvD;gbkey=Gene;gene=ilvD;gene_biotype=protein_coding;locus_tag=NCTC11427_00091,193,gene-NCTC11427_00091
LR134336.1,EMBL,gene,91845,92187,,-,,ID=gene-NCTC11427_00092;Name=NCTC11427_00092;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00092,195,gene-NCTC11427_00092
LR134336.1,EMBL,gene,92354,93635,,+,,ID=gene-NCTC11427_00093;Name=hisS;gbkey=Gene;gene=hisS;gene_biotype=protein_coding;locus_tag=NCTC11427_00093,197,gene-NCTC11427_00093
LR134336.1,EMBL,gene,93781,93985,,+,,ID=gene-NCTC11427_00094;Name=NCTC11427_00094;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00094,199,gene-NCTC11427_00094
LR134336.1,EMBL,gene,93984,94188,,+,,ID=gene-NCTC11427_00095;Name=NCTC11427_00095;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00095,201,gene-NCTC11427_00095
LR134336.1,EMBL,gene,94184,94535,,+,,ID=gene-NCTC11427_00096;Name=pspC_1;gbkey=Gene;gene=pspC_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00096,203,gene-NCTC11427_00096
LR134336.1,EMBL,gene,94549,95251,,+,,ID=gene-NCTC11427_00097;Name=NCTC11427_00097;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00097,205,gene-NCTC11427_00097
LR134336.1,EMBL,gene,95260,95902,,+,,ID=gene-NCTC11427_00098;Name=NCTC11427_00098;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00098,207,gene-NCTC11427_00098
LR134336.1,EMBL,gene,95920,96139,,+,,ID=gene-NCTC11427_00099;Name=NCTC11427_00099;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00099,209,gene-NCTC11427_00099
LR134336.1,EMBL,gene,96290,98054,,+,,ID=gene-NCTC11427_00100;Name=aspS;gbkey=Gene;gene=aspS;gene_biotype=protein_coding;locus_tag=NCTC11427_00100,211,gene-NCTC11427_00100
LR134336.1,EMBL,gene,98031,98973,,+,,ID=gene-NCTC11427_00101;Name=NCTC11427_00101;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00101,213,gene-NCTC11427_00101
LR134336.1,EMBL,gene,99049,99571,,-,,ID=gene-NCTC11427_00102;Name=NCTC11427_00102;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00102,215,gene-NCTC11427_00102
LR134336.1,EMBL,gene,99572,99956,,-,,ID=gene-NCTC11427_00103;Name=NCTC11427_00103;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00103,217,gene-NCTC11427_00103
LR134336.1,EMBL,gene,99933,100977,,-,,ID=gene-NCTC11427_00104;Name=NCTC11427_00104;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00104,219,gene-NCTC11427_00104
LR134336.1,EMBL,gene,101199,102186,,-,,ID=gene-NCTC11427_00105;Name=malR;gbkey=Gene;gene=malR;gene_biotype=protein_coding;locus_tag=NCTC11427_00105,221,gene-NCTC11427_00105
LR134336.1,EMBL,gene,102195,102996,,-,,ID=gene-NCTC11427_00106;Name=malA;gbkey=Gene;gene=malA;gene_biotype=protein_coding;locus_tag=NCTC11427_00106,223,gene-NCTC11427_00106
LR134336.1,EMBL,gene,103176,104019,,-,,ID=gene-NCTC11427_00107;Name=malG;gbkey=Gene;gene=malG;gene_biotype=protein_coding;locus_tag=NCTC11427_00107,225,gene-NCTC11427_00107
LR134336.1,EMBL,gene,104020,105313,,-,,ID=gene-NCTC11427_00108;Name=malF;gbkey=Gene;gene=malF;gene_biotype=protein_coding;locus_tag=NCTC11427_00108,227,gene-NCTC11427_00108
LR134336.1,EMBL,gene,105439,106711,,-,,ID=gene-NCTC11427_00109;Name=malX;gbkey=Gene;gene=malX;gene_biotype=protein_coding;locus_tag=NCTC11427_00109,229,gene-NCTC11427_00109
LR134336.1,EMBL,gene,107185,108703,,+,,ID=gene-NCTC11427_00110;Name=malM;gbkey=Gene;gene=malM;gene_biotype=protein_coding;locus_tag=NCTC11427_00110,231,gene-NCTC11427_00110
LR134336.1,EMBL,gene,108727,110986,,+,,ID=gene-NCTC11427_00111;Name=glgP-2;gbkey=Gene;gene=glgP-2;gene_biotype=protein_coding;locus_tag=NCTC11427_00111,233,gene-NCTC11427_00111
LR134336.1,EMBL,gene,111048,111897,,-,,ID=gene-NCTC11427_00112;Name=rrmA;gbkey=Gene;gene=rrmA;gene_biotype=protein_coding;locus_tag=NCTC11427_00112,235,gene-NCTC11427_00112
LR134336.1,EMBL,gene,112048,112327,,+,,ID=gene-NCTC11427_00113;Name=NCTC11427_00113;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00113,237,gene-NCTC11427_00113
LR134336.1,EMBL,gene,112328,114389,,+,,ID=gene-NCTC11427_00114;Name=copA;gbkey=Gene;gene=copA;gene_biotype=protein_coding;locus_tag=NCTC11427_00114,239,gene-NCTC11427_00114
LR134336.1,EMBL,gene,114466,115723,,-,,ID=gene-NCTC11427_00115;Name=tyrS;gbkey=Gene;gene=tyrS;gene_biotype=protein_coding;locus_tag=NCTC11427_00115,241,gene-NCTC11427_00115
LR134336.1,EMBL,gene,115863,118365,,+,,ID=gene-NCTC11427_00116;Name=pbp1b;gbkey=Gene;gene=pbp1b;gene_biotype=protein_coding;locus_tag=NCTC11427_00116,243,gene-NCTC11427_00116
LR134336.1,EMBL,gene,118442,119354,,+,,ID=gene-NCTC11427_00117;Name=yicL_1;gbkey=Gene;gene=yicL_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00117,245,gene-NCTC11427_00117
LR134336.1,EMBL,gene,119438,120137,,+,,ID=gene-NCTC11427_00118;Name=dapD;gbkey=Gene;gene=dapD;gene_biotype=protein_coding;locus_tag=NCTC11427_00118,247,gene-NCTC11427_00118
LR134336.1,EMBL,gene,120206,121337,,+,,ID=gene-NCTC11427_00119;Name=ykuR;gbkey=Gene;gene=ykuR;gene_biotype=protein_coding;locus_tag=NCTC11427_00119,249,gene-NCTC11427_00119
LR134336.1,EMBL,gene,121348,121888,,+,,ID=gene-NCTC11427_00120;Name=yqgN;gbkey=Gene;gene=yqgN;gene_biotype=protein_coding;locus_tag=NCTC11427_00120,251,gene-NCTC11427_00120
LR134336.1,EMBL,gene,121871,122552,,+,,ID=gene-NCTC11427_00121;Name=gluP;gbkey=Gene;gene=gluP;gene_biotype=protein_coding;locus_tag=NCTC11427_00121,253,gene-NCTC11427_00121
LR134336.1,EMBL,gene,122672,123572,,-,,ID=gene-NCTC11427_00122;Name=galU;gbkey=Gene;gene=galU;gene_biotype=protein_coding;locus_tag=NCTC11427_00122,255,gene-NCTC11427_00122
LR134336.1,EMBL,gene,123593,124610,,-,,ID=gene-NCTC11427_00123;Name=gpdA;gbkey=Gene;gene=gpdA;gene_biotype=protein_coding;locus_tag=NCTC11427_00123,257,gene-NCTC11427_00123
LR134336.1,EMBL,gene,124780,126523,,+,,ID=gene-NCTC11427_00124;Name=yheI_1;gbkey=Gene;gene=yheI_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00124,259,gene-NCTC11427_00124
LR134336.1,EMBL,gene,126524,128291,,+,,ID=gene-NCTC11427_00125;Name=NCTC11427_00125;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00125,261,gene-NCTC11427_00125
LR134336.1,EMBL,gene,128430,129120,,+,,ID=gene-NCTC11427_00126;Name=guaA_1;gbkey=Gene;gene=guaA_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00126,263,gene-NCTC11427_00126
LR134336.1,EMBL,gene,129288,130638,,+,,ID=gene-NCTC11427_00127;Name=gpi;gbkey=Gene;gene=gpi;gene_biotype=protein_coding;locus_tag=NCTC11427_00127,265,gene-NCTC11427_00127
LR134336.1,EMBL,gene,130765,132226,,+,,ID=gene-NCTC11427_00128;Name=gltX;gbkey=Gene;gene=gltX;gene_biotype=protein_coding;locus_tag=NCTC11427_00128,267,gene-NCTC11427_00128
LR134336.1,EMBL,gene,132238,132673,,+,,ID=gene-NCTC11427_00129;Name=codA;gbkey=Gene;gene=codA;gene_biotype=protein_coding;locus_tag=NCTC11427_00129,269,gene-NCTC11427_00129
